Display,Row,Column,Plane,Timepoint,Time [s],Field,Object ID,X,Y,Tracked Organoids Selected Selected - Age [s],Tracked Organoids Selected Selected - Current Displacement X [px],Tracked Organoids Selected Selected - Current Displacement Y [px],Tracked Organoids Selected Selected - Track Point X,Tracked Organoids Selected Selected - Track Point Y,Tracked Organoids Selected Selected - Region Area [µm_],Tracked Organoids Selected Selected - Region Roundness,Tracked Organoids Selected Selected - Region Symmetry 02,Tracked Organoids Selected Selected - Region Symmetry 03,Tracked Organoids Selected Selected - Region Symmetry 04,Tracked Organoids Selected Selected - Region Symmetry 05,Tracked Organoids Selected Selected - Region Symmetry 12,Tracked Organoids Selected Selected - Region Symmetry 13,Tracked Organoids Selected Selected - Region Symmetry 14,Tracked Organoids Selected Selected - Region Symmetry 15,Tracked Organoids Selected Selected - Region Threshold Compactness 30%,Tracked Organoids Selected Selected - Region Threshold Compactness 40%,Tracked Organoids Selected Selected - Region Threshold Compactness 50%,Tracked Organoids Selected Selected - Region Threshold Compactness 60%,Tracked Organoids Selected Selected - Region Axial Small Length,Tracked Organoids Selected Selected - Region Axial Length Ratio,Tracked Organoids Selected Selected - Region Radial Mean,Tracked Organoids Selected Selected - Region Radial Relative Deviation,Tracked Organoids Selected Selected - Region Profile 1/2,Tracked Organoids Selected Selected - Region Profile 2/2,Tracked Organoids Selected Selected - Region Brightfield SER Spot 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Hole 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Edge 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Ridge 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Valley 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Saddle 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Bright 1 px,Tracked Organoids Selected Selected - Region Brightfield SER Dark 1 px,Tracked Organoids Selected Selected - Class,Tracked Organoids Selected Selected - Regression A-B,Tracked Organoids Selected Selected - Live,Tracked Organoids Selected Selected - Dead,Tracked Organoids Selected Selected - Number of Nuclei (DRAQ7+)- per Object,Tracked Organoids Selected Selected - Intensity Nucleus Mean Smoothed Mean,Tracked Organoids Selected Selected - Dead (DRAQ7+),Tracked Organoids Selected Selected - Live (DRAQ7-),Compound,Concentration,Cell Type,Cell Count
TRUE,B,3,1,0,0,1,21,1138,381,0,0,0,1154,368,3474,0.5813,0.2712,0.05424,0.1201,0.04673,0.3146,0.06798,0.1815,0.08692,0.6966,0.6966,0.2359,0.4125,24.17,0.7118,26.78,0.459,1.034,0.9738,0.003702,0.002307,0.02562,0.005498,0.00756,0.007262,0.008066,0.008701,A,-0.1497,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,22,683,389,0,0,0,682,388,1453,0.9393,0.09316,0.09943,0.0287,0.01501,0.1447,0.1487,0.05202,0.02135,1.063,1.063,1.063,0.6754,14.16,0.8182,14.85,0.3644,1.036,0.9701,0.003072,0.002665,0.02174,0.00587,0.007006,0.006118,0.007824,0.008512,B,0.2733,0,1,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,23,938,405,0,0,0,938,405,979.6,1.011,0.04475,0.0191,0.008464,0.01035,0.06957,0.02723,0.006541,0.01403,1.14,1.14,1.14,0.3506,11.84,0.9109,11.6,0.3845,0.9726,1.029,0.003504,0.002023,0.02937,0.006645,0.008416,0.006584,0.00889,0.009292,A,-2.162,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,24,420,424,0,0,0,426,423,2502,0.8963,0.1412,0.09755,0.03542,0.03085,0.2156,0.1458,0.0522,0.06045,1.014,1.014,0.2624,0.6588,17.09,0.7472,18.59,0.4229,0.9322,1.041,0.002852,0.002435,0.02651,0.005623,0.007135,0.00542,0.007467,0.008451,A,-2.175,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,25,1317,421,0,0,0,1317,423,1272,0.9815,0.05948,0.04983,0.04358,0.04507,0.09386,0.07929,0.06418,0.07258,1.107,1.107,1.107,0.298,13.43,0.8775,13.44,0.3841,0.9948,1.005,0.003279,0.002535,0.02883,0.006973,0.008751,0.006635,0.009,0.01001,A,-1.68,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,26,57,435,0,0,0,63,441,2037,0.6697,0.1646,0.2251,0.1837,0.06768,0.1889,0.3209,0.2465,0.09392,0.7897,0.7897,0.7897,0.4602,18.34,0.8227,18.89,0.4101,0.9942,1.006,0.003169,0.00217,0.02116,0.005057,0.005799,0.004915,0.007204,0.007035,A,-0.5565,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,27,636,437,0,0,0,638,441,1275,0.8941,0.1569,0.08011,0.02192,0.03639,0.2256,0.1076,0.02639,0.05202,1.019,1.019,1.019,1.019,12.53,0.742,13.88,0.3839,0.9924,1.008,0.004025,0.002495,0.02221,0.005433,0.00775,0.006995,0.008195,0.008998,B,0.4859,0,1,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,28,976,459,0,0,0,978,459,907.6,1.002,0.05548,0.04674,0.03203,0.02202,0.08844,0.06775,0.04538,0.03619,1.132,1.132,1.132,1.085,11.39,0.886,11.39,0.371,0.9966,1.004,0.003051,0.00234,0.02348,0.006342,0.007535,0.005686,0.008218,0.008768,A,-0.3908,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,29,319,481,0,0,0,319,482,1050,0.9841,0.05015,0.03247,0.01873,0.008227,0.07364,0.04573,0.0302,0.01193,1.112,1.112,1.112,1.112,12.28,0.9066,12.11,0.374,0.9772,1.023,0.003171,0.00223,0.0261,0.007498,0.009658,0.005816,0.009433,0.01063,A,-1.162,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,30,723,498,0,0,0,723,500,1122,0.9598,0.09118,0.06364,0.01002,0.0162,0.1358,0.09328,0.009047,0.02217,1.087,1.087,0.9383,0.3013,12.22,0.8345,12.55,0.3928,0.9733,1.027,0.003074,0.002337,0.02813,0.00569,0.007963,0.006565,0.007732,0.009151,A,-1.897,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,31,1105,549,0,0,0,1097,558,1369,0.819,0.4297,0.04422,0.09898,0.05055,0.5696,0.0538,0.1784,0.07198,0.9433,0.9433,0.9433,0.3925,10.12,0.4486,15.96,0.4452,0.9849,1.018,0.004048,0.003028,0.03516,0.007515,0.01114,0.007447,0.01016,0.01261,A,-2.735,1,0,0,NaN,0,1,Media,,13154,
TRUE,B,3,1,0,0,1,32,1017,580,0,0,0,1011,575,1068,0.8366,0.3586,0.1321,0.07734,0.02697,0.4715,0.1738,0.1192,0.06207,0.9641,0.9641,0.9641,0.9328,10.06,0.5363,13.86,0.4242,0.9903,1.014,0.003276,0.002528,0.01958,0.004858,0.006561,0.005567,0.007127,0.007975,B,0.2716,0,1,0,NaN,0,1,Media,,13154,
